id_candidato,edad,genero,nivel_educativo,titulo,experiencia_anios,habilidades,idiomas,puesto_deseado,localidad,disponibilidad_horaria,trabajo_actual,sector_experiencia,ultima_actualizacion,pretension_salarial
468,19,Masculino,Secundario,Psicologia,24,SQL,Portugues - Intermedio,Abogado/a,salta,Remoto,No,Educacion,2025-01-14,594191
469,52,Femenino,Universitario,Abogacia,6,Redaccion,Ingles - Intermedio,Asistente administrativo,cordoba,Remoto,Si,Educacion,2025-04-19,443836
470,40,Masculino,Terciario,Diseno Grafico,9,Ingles,Sin idiomas,Asistente administrativo,cordoba,Remoto,Si,Diseno,2025-04-19,439537
471,34,Femenino,Universitario,Ingenieria,0,Comunicacion,Ingles - Intermedio,Asistente administrativo,salta,Full-Time,No,Tecnologia,2024-06-10,392691
472,43,Femenino,Universitario,Diseno Grafico,9,Python,Ingles - Avanzado,Abogado/a,salta,Part-Time,No,Diseno,2025-02-05,521391
473,25,Femenino,Universitario,Marketing,20,Ingles,Portugues - Intermedio,Vendedor,salta,Remoto,No,Comercio,2024-09-10,640985
474,46,Otro,Terciario,Medicina,8,Project Management,Sin idiomas,Analista de datos,cordoba,Part-Time,No,Educacion,2024-06-22,486068
475,43,Otro,Universitario,Marketing,14,Python,Ingles - Intermedio,Disenador grafico,rosario,Remoto,No,Salud,2025-04-12,603493
476,27,Otro,Terciario,Recursos Humanos,14,Ingles,Ingles - Avanzado,Contador/a,mendoza,Part-Time,Si,Educacion,2024-06-05,532232
477,43,Femenino,Posgrado,Ingenieria,2,Diseno UX/UI,Portugues - Intermedio,Disenador grafico,mendoza,Remoto,No,Legal,2024-12-11,464158
478,51,Femenino,Universitario,Recursos Humanos,24,Ingles,Ingles - Avanzado,Asistente administrativo,cordoba,Remoto,No,Tecnologia,2024-07-18,699060
479,58,Otro,Terciario,Contador Publico,4,Excel,Frances - Basico,Tecnico en sistemas,cordoba,Remoto,No,Legal,2024-07-05,373565
480,24,Masculino,Terciario,Administracion,8,Diseno UX/UI,Portugues - Intermedio,Abogado/a,rosario,Remoto,No,Comercio,2024-08-03,465976
481,21,Femenino,Secundario,Psicologia,21,Comunicacion,Ingles - Intermedio,Analista de datos,salta,Remoto,Si,Contabilidad,2025-01-12,604387
482,28,Masculino,Universitario,Arquitectura,8,SQL,Ingles - Avanzado,Docente,cordoba,Remoto,No,Salud,2024-08-18,462560
483,46,Masculino,Terciario,Recursos Humanos,22,Python,Ingles - Intermedio,Analista de datos,san juan,Remoto,No,Tecnologia,2024-08-16,692283
484,53,Femenino,Universitario,Diseno Grafico,6,Ventas,Ingles - Avanzado,Contador/a,tucuman,Remoto,No,Educacion,2024-06-16,430576
485,42,Femenino,Terciario,Contador Publico,23,Redaccion,Ingles - Basico,Disenador grafico,salta,Remoto,Si,Salud,2024-05-14,614150
486,38,Masculino,Universitario,Psicologia,22,SQL,Ingles - Intermedio,Asistente administrativo,san juan,Part-Time,No,Educacion,2024-05-29,681019
487,53,Masculino,Universitario,Recursos Humanos,11,Diseno UX/UI,Ingles - Intermedio,Enfermero/a,cordoba,Part-Time,Si,Comercio,2024-12-24,484112
488,27,Otro,Universitario,Contador Publico,24,Redaccion,Portugues - Basico,Docente,tucuman,Full-Time,No,Contabilidad,2024-10-23,725958
489,54,Otro,Universitario,Contador Publico,8,Python,Sin idiomas,Asistente administrativo,san juan,Remoto,No,Tecnologia,2024-07-18,480885
490,26,Femenino,Secundario,Ingenieria,5,Ventas,Frances - Basico,Abogado/a,neuquen,Part-Time,No,Comercio,2025-01-16,419142
491,41,Otro,Secundario,Marketing,22,Project Management,Ingles - Intermedio,Docente,rosario,Part-Time,No,Comercio,2024-11-21,657225
492,52,Otro,Universitario,Contador Publico,1,Project Management,Portugues - Intermedio,Contador/a,tucuman,Part-Time,No,Contabilidad,2025-03-17,387707
493,52,Otro,Terciario,Abogacia,8,Ventas,Sin idiomas,Enfermero/a,cordoba,Part-Time,No,Comercio,2025-02-17,419928
494,53,Otro,Terciario,Marketing,16,Redaccion,Ingles - Avanzado,Vendedor,mendoza,Part-Time,No,Comercio,2024-06-01,584119
495,35,Masculino,Secundario,Psicologia,0,Comunicacion,Ingles - Basico,Vendedor,san juan,Part-Time,No,Educacion,2025-03-26,359053
496,56,Femenino,Terciario,Psicologia,18,Redaccion,Portugues - Intermedio,Vendedor,cordoba,Full-Time,No,Diseno,2024-08-07,569341
497,49,Otro,Secundario,Psicologia,5,Ingles,Sin idiomas,Tecnico en sistemas,mendoza,Part-Time,Si,Legal,2025-01-11,428992
498,41,Masculino,Posgrado,Psicologia,4,Redaccion,Portugues - Intermedio,Vendedor,rosario,Full-Time,Si,Educacion,2024-11-08,403520
499,40,Masculino,Terciario,Abogacia,1,Comunicacion,Portugues - Intermedio,Recepcionista,rosario,Full-Time,Si,Contabilidad,2025-04-10,309441
500,49,Masculino,Universitario,Recursos Humanos,8,SQL,Portugues - Intermedio,Docente,salta,Remoto,Si,Salud,2024-09-27,468886
501,54,Otro,Secundario,Medicina,13,Python,Sin idiomas,Enfermero/a,san juan,Remoto,No,Contabilidad,2025-03-27,516477
502,29,Otro,Universitario,Contador Publico,3,Redaccion,Ingles - Basico,Abogado/a,salta,Remoto,No,Contabilidad,2025-03-12,412352
503,30,Femenino,Terciario,Psicologia,3,Python,Portugues - Basico,Recepcionista,mendoza,Part-Time,Si,Contabilidad,2025-01-20,336148
504,40,Otro,Posgrado,Marketing,20,Diseno UX/UI,Frances - Basico,Recepcionista,mendoza,Remoto,Si,Contabilidad,2024-08-11,673036
505,42,Otro,Posgrado,Marketing,14,Project Management,Ingles - Intermedio,Enfermero/a,rosario,Part-Time,Si,Comercio,2024-11-16,549434
506,52,Masculino,Terciario,Contador Publico,7,Project Management,Sin idiomas,Abogado/a,tucuman,Part-Time,Si,Contabilidad,2024-05-19,380333
507,58,Femenino,Posgrado,Recursos Humanos,3,Comunicacion,Portugues - Intermedio,Docente,mendoza,Remoto,No,Salud,2024-05-13,377138
508,47,Otro,Posgrado,Arquitectura,15,Diseno UX/UI,Ingles - Intermedio,Disenador grafico,mendoza,Remoto,Si,Contabilidad,2024-06-03,562473
509,34,Otro,Universitario,Arquitectura,20,Project Management,Sin idiomas,Asistente administrativo,san juan,Full-Time,No,Educacion,2024-08-09,655647
510,37,Masculino,Universitario,Medicina,3,Comunicacion,Ingles - Intermedio,Disenador grafico,tucuman,Full-Time,No,Comercio,2024-08-10,419566
511,42,Masculino,Terciario,Recursos Humanos,15,Redaccion,Portugues - Intermedio,Contador/a,salta,Part-Time,No,Educacion,2025-04-07,500804
512,39,Otro,Universitario,Contador Publico,21,Diseno UX/UI,Portugues - Basico,Enfermero/a,salta,Part-Time,Si,Comercio,2025-04-22,665558
513,30,Femenino,Secundario,Arquitectura,11,Ingles,Sin idiomas,Disenador grafico,mendoza,Remoto,Si,Educacion,2024-08-03,429700
514,36,Femenino,Secundario,Arquitectura,15,Ingles,Ingles - Intermedio,Disenador grafico,san juan,Remoto,No,Tecnologia,2024-07-20,543872
515,53,Masculino,Posgrado,Arquitectura,18,Ingles,Ingles - Avanzado,Disenador grafico,salta,Full-Time,Si,Legal,2024-07-26,611319
516,29,Masculino,Terciario,Diseno Grafico,7,SQL,Ingles - Intermedio,Vendedor,salta,Remoto,Si,Legal,2025-03-15,393461
517,58,Otro,Universitario,Abogacia,5,Ingles,Frances - Basico,Analista de datos,neuquen,Part-Time,No,Comercio,2025-04-05,438989
518,36,Masculino,Universitario,Contador Publico,9,Diseno UX/UI,Portugues - Intermedio,Disenador grafico,san juan,Remoto,No,Tecnologia,2025-04-22,457393
519,29,Otro,Posgrado,Administracion,4,Excel,Ingles - Basico,Asistente administrativo,salta,Full-Time,Si,Salud,2025-04-16,410522
520,26,Femenino,Posgrado,Ingenieria,17,Project Management,Ingles - Intermedio,Enfermero/a,rosario,Part-Time,No,Tecnologia,2024-11-26,548401
521,24,Femenino,Terciario,Ingenieria,9,Ingles,Portugues - Basico,Contador/a,cordoba,Full-Time,Si,Diseno,2024-06-05,483396
522,45,Otro,Secundario,Recursos Humanos,9,Diseno UX/UI,Ingles - Avanzado,Analista de datos,mendoza,Full-Time,Si,Comercio,2024-11-12,459627
523,31,Masculino,Terciario,Contador Publico,6,Atencion al cliente,Ingles - Avanzado,Tecnico en sistemas,mendoza,Part-Time,No,Tecnologia,2025-02-28,410163
524,48,Femenino,Secundario,Contador Publico,17,Redaccion,Ingles - Basico,Asistente administrativo,rosario,Full-Time,No,Salud,2024-12-19,509173
525,36,Masculino,Secundario,Ingenieria,0,SQL,Frances - Basico,Asistente administrativo,cordoba,Remoto,Si,Comercio,2025-05-03,336281
526,33,Femenino,Terciario,Medicina,6,Python,Ingles - Basico,Vendedor,cordoba,Remoto,No,Legal,2025-01-22,390013
527,22,Otro,Universitario,Ingenieria,20,Comunicacion,Frances - Basico,Vendedor,rosario,Full-Time,Si,Contabilidad,2024-08-19,626400
528,52,Otro,Universitario,Contador Publico,0,Atencion al cliente,Ingles - Intermedio,Enfermero/a,tucuman,Remoto,No,Tecnologia,2024-09-26,409361
529,29,Otro,Terciario,Arquitectura,14,Atencion al cliente,Portugues - Intermedio,Asistente administrativo,tucuman,Full-Time,Si,Legal,2024-12-13,508891
530,42,Femenino,Universitario,Medicina,3,SQL,Portugues - Basico,Abogado/a,cordoba,Remoto,No,Legal,2024-12-01,407266
531,38,Masculino,Terciario,Psicologia,19,Comunicacion,Ingles - Avanzado,Abogado/a,tucuman,Full-Time,Si,Educacion,2024-12-06,621862
532,53,Masculino,Secundario,Administracion,9,SQL,Ingles - Basico,Enfermero/a,tucuman,Remoto,Si,Salud,2024-12-04,446705
533,40,Masculino,Universitario,Diseno Grafico,22,Ingles,Portugues - Basico,Disenador grafico,tucuman,Part-Time,No,Diseno,2024-10-11,678460
534,33,Femenino,Universitario,Abogacia,8,Python,Frances - Basico,Recepcionista,cordoba,Part-Time,Si,Contabilidad,2025-01-29,471291
535,56,Femenino,Universitario,Psicologia,1,Comunicacion,Portugues - Intermedio,Tecnico en sistemas,tucuman,Remoto,Si,Tecnologia,2024-06-23,363158
536,59,Femenino,Secundario,Marketing,13,Diseno UX/UI,Ingles - Avanzado,Contador/a,mendoza,Full-Time,Si,Legal,2024-07-08,493443
537,56,Femenino,Universitario,Ingenieria,15,Project Management,Ingles - Avanzado,Vendedor,neuquen,Remoto,Si,Legal,2025-03-18,610338
538,31,Femenino,Universitario,Administracion,0,SQL,Frances - Basico,Contador/a,cordoba,Full-Time,Si,Diseno,2025-04-21,300621
539,48,Masculino,Universitario,Ingenieria,1,Python,Portugues - Intermedio,Recepcionista,rosario,Remoto,No,Salud,2025-02-13,385643
540,22,Femenino,Universitario,Ingenieria,6,Redaccion,Ingles - Avanzado,Docente,tucuman,Remoto,Si,Contabilidad,2025-02-03,454670
541,52,Femenino,Posgrado,Psicologia,9,Excel,Portugues - Intermedio,Enfermero/a,salta,Part-Time,Si,Contabilidad,2025-04-21,515951
542,40,Masculino,Universitario,Arquitectura,21,Redaccion,Ingles - Avanzado,Disenador grafico,cordoba,Full-Time,Si,Diseno,2024-06-11,688509
543,46,Femenino,Universitario,Arquitectura,19,Excel,Ingles - Intermedio,Analista de datos,san juan,Full-Time,No,Legal,2024-07-01,622223
544,28,Masculino,Posgrado,Diseno Grafico,0,Ventas,Frances - Basico,Disenador grafico,rosario,Full-Time,No,Legal,2024-06-26,303931
545,35,Masculino,Universitario,Medicina,12,Diseno UX/UI,Portugues - Intermedio,Asistente administrativo,neuquen,Full-Time,Si,Legal,2024-12-31,517832
546,29,Otro,Terciario,Ingenieria,0,Ventas,Portugues - Basico,Disenador grafico,mendoza,Full-Time,Si,Legal,2024-08-26,290265
547,26,Otro,Universitario,Recursos Humanos,4,SQL,Ingles - Intermedio,Asistente administrativo,san juan,Part-Time,No,Educacion,2024-06-03,378045
548,27,Otro,Terciario,Arquitectura,15,SQL,Sin idiomas,Contador/a,rosario,Remoto,No,Educacion,2024-11-15,507728
549,34,Otro,Terciario,Contador Publico,14,Excel,Portugues - Basico,Docente,tucuman,Full-Time,Si,Diseno,2024-12-04,515680
550,55,Femenino,Universitario,Administracion,16,Comunicacion,Frances - Basico,Vendedor,salta,Full-Time,No,Contabilidad,2025-04-16,562102
551,24,Otro,Posgrado,Recursos Humanos,22,Python,Ingles - Avanzado,Docente,tucuman,Remoto,Si,Comercio,2025-01-31,618673
552,30,Masculino,Posgrado,Psicologia,15,Ingles,Sin idiomas,Asistente administrativo,rosario,Part-Time,Si,Tecnologia,2025-03-26,606006
553,57,Femenino,Terciario,Psicologia,12,Atencion al cliente,Portugues - Basico,Analista de datos,cordoba,Part-Time,Si,Salud,2024-11-12,566609
554,59,Otro,Universitario,Diseno Grafico,10,SQL,Ingles - Intermedio,Recepcionista,san juan,Part-Time,No,Comercio,2024-11-13,508187
555,26,Masculino,Terciario,Diseno Grafico,16,Ventas,Sin idiomas,Contador/a,salta,Remoto,Si,Educacion,2025-03-02,553913
556,44,Femenino,Posgrado,Medicina,16,Ventas,Sin idiomas,Contador/a,san juan,Remoto,Si,Educacion,2024-07-10,598358
557,19,Femenino,Posgrado,Contador Publico,1,Redaccion,Portugues - Intermedio,Disenador grafico,san juan,Part-Time,No,Educacion,2025-05-07,362371
558,22,Otro,Universitario,Administracion,12,Diseno UX/UI,Ingles - Basico,Vendedor,salta,Part-Time,Si,Comercio,2025-02-10,522701
559,46,Femenino,Universitario,Contador Publico,13,Excel,Portugues - Basico,Disenador grafico,rosario,Remoto,Si,Educacion,2024-12-03,533890
560,54,Masculino,Universitario,Marketing,10,Atencion al cliente,Ingles - Basico,Disenador grafico,neuquen,Part-Time,Si,Comercio,2025-02-03,464769
561,55,Femenino,Universitario,Diseno Grafico,9,Excel,Frances - Basico,Asistente administrativo,neuquen,Full-Time,No,Educacion,2025-03-10,525486
562,36,Masculino,Secundario,Medicina,2,SQL,Portugues - Basico,Recepcionista,tucuman,Remoto,No,Legal,2025-03-12,285386
563,25,Femenino,Terciario,Abogacia,16,Project Management,Portugues - Basico,Vendedor,rosario,Part-Time,Si,Legal,2025-03-01,581549
564,18,Otro,Universitario,Ingenieria,14,Atencion al cliente,Portugues - Intermedio,Disenador grafico,salta,Full-Time,No,Tecnologia,2024-07-10,546965
565,39,Masculino,Universitario,Ingenieria,8,Redaccion,Ingles - Avanzado,Contador/a,rosario,Remoto,Si,Educacion,2024-09-12,517024
566,34,Femenino,Terciario,Abogacia,9,Ventas,Ingles - Intermedio,Disenador grafico,salta,Remoto,Si,Diseno,2025-04-30,465225
567,24,Femenino,Posgrado,Arquitectura,7,Redaccion,Ingles - Intermedio,Tecnico en sistemas,san juan,Full-Time,No,Tecnologia,2025-02-02,454203
568,42,Femenino,Secundario,Contador Publico,20,SQL,Ingles - Intermedio,Enfermero/a,tucuman,Remoto,No,Comercio,2025-04-09,592569
569,21,Masculino,Universitario,Abogacia,12,Project Management,Frances - Basico,Contador/a,cordoba,Part-Time,Si,Tecnologia,2025-01-21,521197
570,53,Masculino,Universitario,Medicina,17,Ingles,Sin idiomas,Tecnico en sistemas,san juan,Remoto,No,Educacion,2024-08-27,560717
571,23,Masculino,Universitario,Administracion,4,Atencion al cliente,Ingles - Avanzado,Enfermero/a,cordoba,Part-Time,No,Comercio,2024-11-02,376994
572,48,Otro,Universitario,Abogacia,5,Excel,Ingles - Basico,Analista de datos,rosario,Full-Time,No,Diseno,2024-11-15,361452
573,36,Otro,Terciario,Medicina,16,Atencion al cliente,Ingles - Intermedio,Tecnico en sistemas,salta,Full-Time,Si,Comercio,2024-12-17,532311
574,56,Masculino,Secundario,Diseno Grafico,10,Ventas,Ingles - Basico,Asistente administrativo,cordoba,Remoto,Si,Legal,2025-01-09,452817
575,44,Femenino,Universitario,Recursos Humanos,19,Excel,Ingles - Avanzado,Analista de datos,san juan,Full-Time,No,Comercio,2024-11-04,634005
576,27,Otro,Universitario,Psicologia,15,Ingles,Frances - Basico,Abogado/a,salta,Full-Time,Si,Comercio,2025-02-03,505621
577,43,Masculino,Secundario,Psicologia,8,Ingles,Ingles - Avanzado,Vendedor,tucuman,Remoto,Si,Tecnologia,2024-06-24,415884
578,36,Femenino,Universitario,Marketing,1,Diseno UX/UI,Portugues - Intermedio,Contador/a,san juan,Part-Time,No,Diseno,2024-12-09,371902
579,56,Otro,Terciario,Contador Publico,4,Excel,Sin idiomas,Abogado/a,rosario,Remoto,Si,Contabilidad,2025-03-01,375113
580,20,Femenino,Universitario,Administracion,0,Python,Ingles - Intermedio,Contador/a,salta,Remoto,No,Comercio,2025-04-17,320987
581,30,Femenino,Universitario,Recursos Humanos,3,Project Management,Frances - Basico,Vendedor,rosario,Part-Time,Si,Salud,2025-02-08,372636
582,45,Femenino,Secundario,Recursos Humanos,3,Python,Portugues - Intermedio,Vendedor,salta,Part-Time,Si,Contabilidad,2024-11-17,328778
583,37,Femenino,Secundario,Diseno Grafico,21,Ingles,Ingles - Intermedio,Contador/a,san juan,Part-Time,No,Legal,2024-09-20,595899
584,45,Otro,Universitario,Abogacia,24,Excel,Ingles - Avanzado,Vendedor,neuquen,Remoto,Si,Diseno,2024-09-13,705214
585,25,Otro,Universitario,Contador Publico,2,Diseno UX/UI,Ingles - Avanzado,Tecnico en sistemas,neuquen,Part-Time,No,Diseno,2024-06-27,439230
586,58,Otro,Universitario,Ingenieria,8,Atencion al cliente,Portugues - Basico,Docente,salta,Full-Time,Si,Legal,2024-12-25,437690
587,56,Masculino,Universitario,Recursos Humanos,21,Atencion al cliente,Portugues - Basico,Recepcionista,tucuman,Part-Time,Si,Comercio,2024-07-02,645456
588,18,Otro,Universitario,Medicina,22,Atencion al cliente,Ingles - Avanzado,Contador/a,rosario,Full-Time,Si,Tecnologia,2025-01-14,668450
589,20,Femenino,Posgrado,Ingenieria,11,Diseno UX/UI,Ingles - Avanzado,Abogado/a,mendoza,Part-Time,No,Contabilidad,2025-04-21,504380
590,30,Otro,Universitario,Marketing,9,SQL,Ingles - Basico,Abogado/a,salta,Full-Time,Si,Legal,2025-05-03,507947
591,45,Femenino,Terciario,Abogacia,1,Excel,Sin idiomas,Vendedor,salta,Full-Time,Si,Legal,2025-03-24,263874
592,42,Masculino,Terciario,Abogacia,10,Python,Ingles - Basico,Contador/a,neuquen,Full-Time,No,Salud,2024-08-21,454069
593,50,Femenino,Secundario,Administracion,9,Project Management,Sin idiomas,Docente,cordoba,Full-Time,No,Comercio,2025-04-17,459549
594,55,Femenino,Universitario,Recursos Humanos,21,Ingles,Portugues - Intermedio,Docente,san juan,Full-Time,Si,Contabilidad,2024-11-11,646178
595,23,Femenino,Terciario,Diseno Grafico,5,Project Management,Portugues - Basico,Recepcionista,neuquen,Part-Time,No,Legal,2024-12-26,370375
596,49,Masculino,Posgrado,Arquitectura,17,Ingles,Portugues - Basico,Tecnico en sistemas,rosario,Remoto,No,Diseno,2024-12-28,628222
597,38,Otro,Universitario,Arquitectura,1,Excel,Ingles - Avanzado,Recepcionista,neuquen,Remoto,No,Legal,2024-10-01,382190
598,33,Otro,Universitario,Psicologia,1,Excel,Ingles - Avanzado,Asistente administrativo,mendoza,Remoto,No,Legal,2024-07-17,361319
599,38,Masculino,Terciario,Medicina,9,Redaccion,Portugues - Intermedio,Abogado/a,tucuman,Remoto,Si,Legal,2024-09-26,430964
600,28,Femenino,Secundario,Ingenieria,15,Python,Frances - Basico,Docente,san juan,Remoto,No,Tecnologia,2024-07-22,538686
601,54,Otro,Secundario,Marketing,11,Ventas,Frances - Basico,Vendedor,mendoza,Full-Time,Si,Educacion,2024-05-17,452939
602,53,Masculino,Terciario,Psicologia,0,Ingles,Frances - Basico,Docente,tucuman,Part-Time,Si,Salud,2024-08-09,342355
603,52,Otro,Secundario,Abogacia,20,Comunicacion,Portugues - Basico,Docente,mendoza,Full-Time,Si,Diseno,2024-11-21,644497
604,36,Masculino,Universitario,Ingenieria,7,Ventas,Ingles - Basico,Enfermero/a,san juan,Part-Time,No,Tecnologia,2025-04-11,366833
605,37,Femenino,Posgrado,Contador Publico,15,Atencion al cliente,Frances - Basico,Abogado/a,neuquen,Part-Time,No,Salud,2024-06-16,588332
606,35,Otro,Posgrado,Recursos Humanos,17,Project Management,Ingles - Intermedio,Asistente administrativo,mendoza,Part-Time,Si,Legal,2025-01-04,562928
607,58,Masculino,Universitario,Marketing,12,Excel,Portugues - Intermedio,Recepcionista,neuquen,Part-Time,Si,Salud,2024-07-02,593253
608,31,Otro,Terciario,Contador Publico,14,Comunicacion,Frances - Basico,Asistente administrativo,san juan,Remoto,No,Comercio,2024-11-07,515957
609,32,Otro,Posgrado,Diseno Grafico,20,Ingles,Ingles - Intermedio,Enfermero/a,neuquen,Part-Time,No,Comercio,2025-02-07,682391
610,48,Otro,Posgrado,Recursos Humanos,11,SQL,Frances - Basico,Tecnico en sistemas,rosario,Part-Time,Si,Educacion,2025-03-04,523941
611,18,Otro,Secundario,Ingenieria,7,Ingles,Ingles - Basico,Asistente administrativo,neuquen,Remoto,No,Educacion,2024-08-11,380908
612,20,Masculino,Universitario,Recursos Humanos,9,Project Management,Ingles - Basico,Docente,cordoba,Full-Time,No,Salud,2024-11-24,447339
613,33,Femenino,Terciario,Psicologia,13,Ingles,Frances - Basico,Analista de datos,mendoza,Full-Time,Si,Tecnologia,2024-06-28,562570
614,40,Masculino,Universitario,Administracion,4,Ingles,Ingles - Intermedio,Contador/a,san juan,Full-Time,No,Tecnologia,2024-08-20,428678
615,28,Masculino,Posgrado,Psicologia,17,Diseno UX/UI,Portugues - Intermedio,Asistente administrativo,salta,Full-Time,No,Legal,2024-07-27,673307
616,29,Masculino,Secundario,Diseno Grafico,18,Python,Ingles - Intermedio,Contador/a,salta,Part-Time,Si,Tecnologia,2024-10-03,571663
617,27,Femenino,Posgrado,Medicina,14,Ventas,Portugues - Intermedio,Enfermero/a,salta,Remoto,No,Educacion,2024-05-17,578637
618,49,Otro,Universitario,Contador Publico,5,SQL,Frances - Basico,Asistente administrativo,san juan,Remoto,Si,Tecnologia,2025-04-04,406985
619,33,Otro,Posgrado,Psicologia,10,Excel,Portugues - Intermedio,Asistente administrativo,cordoba,Full-Time,No,Legal,2024-09-11,501388
620,25,Otro,Terciario,Administracion,20,Ingles,Ingles - Avanzado,Disenador grafico,neuquen,Remoto,Si,Comercio,2024-10-29,588744
621,55,Femenino,Universitario,Medicina,10,SQL,Portugues - Basico,Docente,mendoza,Part-Time,No,Tecnologia,2024-06-26,492520
622,29,Otro,Secundario,Psicologia,19,Redaccion,Sin idiomas,Vendedor,tucuman,Full-Time,Si,Tecnologia,2024-08-29,561323
623,41,Femenino,Terciario,Abogacia,19,Ingles,Portugues - Basico,Contador/a,tucuman,Part-Time,No,Educacion,2025-03-10,618257
624,45,Otro,Secundario,Administracion,20,Diseno UX/UI,Ingles - Basico,Tecnico en sistemas,san juan,Part-Time,No,Salud,2024-06-27,605100
625,25,Otro,Posgrado,Contador Publico,17,Diseno UX/UI,Ingles - Avanzado,Disenador grafico,rosario,Part-Time,No,Comercio,2025-04-01,623630
626,45,Masculino,Universitario,Marketing,24,Comunicacion,Portugues - Basico,Docente,cordoba,Part-Time,Si,Salud,2024-12-20,750253
627,53,Femenino,Posgrado,Arquitectura,17,Atencion al cliente,Frances - Basico,Enfermero/a,mendoza,Part-Time,No,Legal,2025-05-08,613869
628,43,Masculino,Posgrado,Medicina,9,Project Management,Portugues - Intermedio,Contador/a,neuquen,Full-Time,Si,Legal,2025-02-16,517701
629,25,Masculino,Secundario,Abogacia,1,Ventas,Portugues - Intermedio,Recepcionista,salta,Part-Time,No,Salud,2024-12-28,376545
630,45,Masculino,Terciario,Marketing,8,Redaccion,Ingles - Intermedio,Enfermero/a,cordoba,Full-Time,No,Educacion,2024-09-24,479198
631,45,Femenino,Secundario,Ingenieria,13,Project Management,Ingles - Intermedio,Vendedor,cordoba,Remoto,No,Contabilidad,2024-09-16,529595
632,54,Femenino,Terciario,Administracion,18,Project Management,Portugues - Intermedio,Contador/a,mendoza,Part-Time,No,Educacion,2024-08-09,580800
633,58,Otro,Terciario,Abogacia,9,Comunicacion,Frances - Basico,Enfermero/a,san juan,Part-Time,No,Contabilidad,2024-12-13,461889
634,53,Masculino,Terciario,Recursos Humanos,22,Diseno UX/UI,Portugues - Intermedio,Disenador grafico,neuquen,Remoto,No,Contabilidad,2024-11-09,610452
635,44,Otro,Terciario,Ingenieria,3,Python,Ingles - Intermedio,Enfermero/a,san juan,Full-Time,Si,Educacion,2024-06-27,379967
636,34,Masculino,Secundario,Ingenieria,5,SQL,Portugues - Basico,Vendedor,san juan,Part-Time,Si,Contabilidad,2024-05-19,383233
637,26,Femenino,Secundario,Medicina,13,Excel,Ingles - Basico,Vendedor,rosario,Remoto,No,Contabilidad,2025-03-15,495701
638,50,Femenino,Secundario,Administracion,3,Python,Ingles - Intermedio,Analista de datos,san juan,Remoto,No,Contabilidad,2024-07-15,375815
639,37,Femenino,Posgrado,Abogacia,14,Python,Frances - Basico,Asistente administrativo,neuquen,Part-Time,No,Comercio,2025-04-30,533767
640,30,Masculino,Universitario,Diseno Grafico,15,Atencion al cliente,Portugues - Basico,Recepcionista,rosario,Full-Time,No,Legal,2024-12-17,614045
641,45,Femenino,Posgrado,Abogacia,6,Atencion al cliente,Portugues - Basico,Recepcionista,rosario,Full-Time,No,Contabilidad,2024-12-12,477052
642,46,Masculino,Terciario,Psicologia,16,Python,Portugues - Basico,Disenador grafico,salta,Part-Time,Si,Legal,2025-03-29,557881
643,30,Otro,Terciario,Ingenieria,18,Diseno UX/UI,Ingles - Avanzado,Vendedor,salta,Remoto,No,Diseno,2025-03-19,585539
644,52,Masculino,Universitario,Contador Publico,18,Project Management,Ingles - Avanzado,Analista de datos,mendoza,Part-Time,No,Legal,2024-09-16,624418
645,23,Otro,Terciario,Ingenieria,16,SQL,Sin idiomas,Docente,neuquen,Full-Time,Si,Diseno,2025-01-25,605625
646,35,Masculino,Terciario,Ingenieria,5,Project Management,Portugues - Basico,Analista de datos,san juan,Remoto,Si,Comercio,2024-07-17,398048
647,22,Otro,Terciario,Arquitectura,10,Project Management,Frances - Basico,Tecnico en sistemas,rosario,Part-Time,Si,Legal,2025-02-11,474320
648,42,Femenino,Secundario,Recursos Humanos,15,Project Management,Portugues - Intermedio,Enfermero/a,mendoza,Remoto,No,Salud,2024-10-21,525543
649,19,Otro,Terciario,Diseno Grafico,24,SQL,Frances - Basico,Asistente administrativo,rosario,Full-Time,No,Tecnologia,2024-11-06,733460
650,27,Femenino,Terciario,Marketing,7,SQL,Ingles - Avanzado,Analista de datos,cordoba,Full-Time,No,Comercio,2024-07-30,413934
651,47,Femenino,Universitario,Marketing,10,Comunicacion,Ingles - Intermedio,Enfermero/a,tucuman,Full-Time,No,Tecnologia,2024-12-02,489115
652,22,Otro,Secundario,Recursos Humanos,6,Ventas,Sin idiomas,Asistente administrativo,tucuman,Part-Time,No,Salud,2025-02-16,433903
653,50,Masculino,Terciario,Ingenieria,23,Python,Ingles - Avanzado,Contador/a,rosario,Remoto,Si,Educacion,2024-08-09,669410
654,18,Masculino,Universitario,Marketing,21,Ingles,Portugues - Intermedio,Tecnico en sistemas,mendoza,Part-Time,No,Educacion,2025-02-16,689111
655,35,Masculino,Secundario,Administracion,24,Comunicacion,Ingles - Basico,Tecnico en sistemas,salta,Part-Time,No,Contabilidad,2024-08-11,632662
656,49,Masculino,Terciario,Diseno Grafico,18,Comunicacion,Sin idiomas,Vendedor,neuquen,Part-Time,No,Educacion,2024-12-26,583842
657,28,Masculino,Posgrado,Marketing,9,Excel,Ingles - Avanzado,Tecnico en sistemas,rosario,Part-Time,Si,Comercio,2025-02-21,539533
